epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,25171.3,0.85228,0.43007,0.11124,0.57104,0.48176,0.47414,0.28555,0.69233,0.48876,0.07805,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,25562.1,0.84967,0.4311,0.11423,0.57175,0.48511,0.47646,0.2875,0.69099,0.48778,0.07725,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,25955.2,0.85597,0.42845,0.11435,0.57373,0.48526,0.47857,0.28878,0.69111,0.48923,0.07681,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,26349.9,0.83747,0.43299,0.10825,0.57423,0.48276,0.47903,0.28822,0.68774,0.48831,0.07629,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,26742.1,0.84275,0.43044,0.10927,0.57017,0.48478,0.47818,0.28828,0.68429,0.48886,0.07513,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,27132.9,0.8273,0.43192,0.10365,0.57338,0.48817,0.48053,0.29006,0.6872,0.48843,0.07621,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,27525.7,0.82899,0.43147,0.10786,0.57895,0.48906,0.4834,0.29198,0.68164,0.49018,0.07504,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,27917.6,0.82111,0.43271,0.10332,0.57085,0.49833,0.48599,0.29319,0.68016,0.49015,0.07492,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,28310.3,0.82229,0.42992,0.10682,0.57457,0.49647,0.48653,0.29281,0.67892,0.4898,0.07451,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,28700,0.81261,0.43413,0.10084,0.57889,0.48959,0.4848,0.29299,0.67831,0.49072,0.0743,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,29090.9,0.81189,0.43208,0.10078,0.57732,0.49437,0.4831,0.29103,0.67523,0.49245,0.07316,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,29482.5,0.80994,0.43252,0.09989,0.58152,0.48916,0.4841,0.29186,0.67185,0.49302,0.07266,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,29873,0.80344,0.43394,0.0986,0.58043,0.49077,0.48445,0.29098,0.6708,0.49387,0.07296,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,30263.1,0.79466,0.435,0.09639,0.57612,0.49187,0.48551,0.29344,0.67098,0.49382,0.07263,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,30656.7,0.8113,0.43189,0.10089,0.58479,0.49571,0.48943,0.29451,0.66889,0.49411,0.07161,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,31049,0.80891,0.42998,0.09767,0.58116,0.49558,0.48911,0.29514,0.66846,0.49341,0.07149,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,31439.7,0.78582,0.43383,0.09266,0.58388,0.49334,0.48869,0.29522,0.66885,0.49425,0.07187,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,31832.7,0.78694,0.43128,0.0953,0.58191,0.49609,0.48948,0.29567,0.66845,0.49349,0.0719,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,32223.8,0.7881,0.43142,0.09304,0.59455,0.49331,0.49065,0.29485,0.66872,0.49418,0.07199,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,32614.1,0.78406,0.43276,0.09179,0.58505,0.49469,0.48867,0.29464,0.66737,0.49422,0.07189,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,33007.5,0.77693,0.43448,0.09044,0.58167,0.49725,0.49102,0.29574,0.66682,0.49297,0.07221,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,33397.4,0.77283,0.43449,0.09052,0.58946,0.49073,0.49174,0.2962,0.66646,0.49291,0.07149,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,33788.2,0.76395,0.4349,0.08599,0.5837,0.49503,0.49072,0.2956,0.66456,0.49427,0.07057,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,34179.6,0.77926,0.43264,0.09255,0.5813,0.50032,0.49155,0.29542,0.66367,0.49462,0.07036,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,34569.6,0.76039,0.43355,0.08804,0.59476,0.49618,0.49226,0.29681,0.66322,0.49441,0.07044,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,34960.3,0.76091,0.43366,0.08555,0.58777,0.49849,0.4932,0.29696,0.66071,0.49601,0.06976,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,35352.4,0.76403,0.43139,0.08644,0.58983,0.49913,0.49259,0.29628,0.66166,0.49633,0.07022,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,35741.7,0.76086,0.43367,0.08661,0.5924,0.49474,0.49261,0.29632,0.66026,0.49694,0.0696,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,36162.9,0.63497,0.45227,0.05545,0.58949,0.49703,0.49217,0.29636,0.66173,0.4958,0.06991,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,36598.4,0.63478,0.45134,0.05626,0.5897,0.49414,0.49289,0.29637,0.66168,0.49659,0.07022,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,37015.6,0.63078,0.45156,0.05513,0.58556,0.49783,0.49122,0.29586,0.6589,0.49816,0.06997,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,37435.3,0.62728,0.45077,0.05508,0.59467,0.48865,0.48972,0.29508,0.65942,0.49817,0.07002,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,37855.7,0.62692,0.451,0.05437,0.58813,0.49374,0.49092,0.29583,0.65865,0.49875,0.06975,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,38267.1,0.62606,0.45024,0.05387,0.59006,0.49438,0.49127,0.29578,0.65765,0.49941,0.06937,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,38678.3,0.61906,0.451,0.05382,0.58909,0.49595,0.49289,0.29647,0.6574,0.49945,0.06928,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,39074,0.62289,0.449,0.0538,0.58899,0.49418,0.49281,0.29659,0.65756,0.49957,0.06952,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,39448.5,0.61968,0.45035,0.05288,0.58919,0.49514,0.49331,0.29648,0.65645,0.4996,0.06936,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,39823.6,0.61692,0.4497,0.05207,0.59165,0.49512,0.49317,0.2962,0.65606,0.4995,0.06906,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
