epoch,precision,recall,f1,ap50,ap75,map50_95,loss_bpdd,bpdd_active_edge_ratio,ra_glgm_gradient_norm,epoch_wall_seconds
30,0.48773,0.40714,0.4438061220065484,0.38913,0.22833261874611396,0.22849,0.033221255987882614,0.5943940877914429,1.121566891670227,596.11
31,0.48634,0.41364,0.44705366252583395,0.38322,0.22802115939355666,0.22595,0.07246755808591843,0.5928587317466736,1.3295551538467407,486.851
32,0.49572,0.41818,0.4536605527957107,0.39778,0.2339075363661413,0.23429,0.04722384363412857,0.5937132239341736,1.2451481819152832,594.554
33,0.48856,0.42319,0.45353157422539075,0.39716,0.23490176546075703,0.23496,0.049118779599666595,0.5908072590827942,1.2665601968765259,485.037
34,0.49214,0.4135,0.44940570204496266,0.39384,0.23438018003203537,0.23288,0.06745645403862,0.5944504141807556,1.652005910873413,623.377
35,0.4973,0.42659,0.45923910205760426,0.40304,0.2366017589300768,0.23735,0.0718403160572052,0.5908983945846558,1.50928795337677,488.599
36,0.49327,0.42624,0.4573118395667257,0.40112,0.23851586305281125,0.23667,0.07764828950166702,0.5915181040763855,1.2394062280654907,483.487
37,0.49137,0.42978,0.4585159824132877,0.40723,0.24346513952932333,0.24158,0.03915446996688843,0.5903812050819397,1.4328644275665283,477.593
38,0.51076,0.42573,0.46438478745101386,0.40893,0.24332917739898274,0.24243,0.045239463448524475,0.5914615392684937,2.0172386169433594,529.48
39,0.51291,0.43056,0.4681410741200038,0.41547,0.25104229199758743,0.24753,0.08631841838359833,0.5896799564361572,1.8286620378494263,483.137
40,0.51115,0.43695,0.4711464877122667,0.41632,0.24819095240084926,0.24682,0.05841219425201416,0.5902743339538574,2.237333297729492,491.076
41,0.51412,0.43888,0.4735298753410283,0.4233,0.2523500692864319,0.25105,0.05510014295578003,0.5905702114105225,2.262448310852051,512.709
42,0.52201,0.43941,0.47716172765284687,0.42355,0.2527022868230747,0.25119,0.059267040342092514,0.5907226204872131,1.5685731172561646,459.96
43,0.51801,0.4427,0.4774032267801938,0.42517,0.25381517863785347,0.25269,0.08417770266532898,0.5896408557891846,1.9417668581008911,461.439
44,0.53079,0.43975,0.4810000669730253,0.42717,0.2587843331725135,0.25417,0.08510230481624603,0.5876802206039429,2.0064122676849365,640.663
