epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,train/vsf_local_loss,train/vsf_global_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,val/vsf_local_loss,val/vsf_global_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,39059.5,1.51675,0.3104,0.20094,0.03576,0.03913,0.2698,0.20187,0.13987,0.06133,1.33073,0.359,0.1446,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,39871.3,1.4759,0.33361,0.20049,0.03529,0.03473,0.31731,0.2834,0.21452,0.09591,0.99738,0.48405,0.10814,0,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,40694,1.37548,0.3545,0.17498,0.03387,0.03371,0.15374,0.13615,0.06902,0.02294,1.58383,0.30334,0.17275,0,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,41496.7,1.61605,0.31085,0.23214,0.0349,0.03562,0.35086,0.30961,0.24699,0.12079,0.96284,0.48298,0.10242,0,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,42303.3,1.18452,0.41568,0.14617,0.033,0.03491,0.38762,0.33101,0.28051,0.15009,0.88609,0.49818,0.09473,0,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,43089.8,1.16238,0.42091,0.13572,0.03192,0.03515,0.38491,0.34758,0.29107,0.15942,0.86505,0.50574,0.09068,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,43882,1.18938,0.41262,0.14006,0.03241,0.03454,0.37367,0.32913,0.26977,0.14441,0.92849,0.47736,0.09621,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,44659.8,1.17894,0.41786,0.13372,0.03171,0.03351,0.37876,0.34933,0.29139,0.14577,0.89286,0.50971,0.09231,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,45450.9,1.1709,0.41852,0.13306,0.03178,0.03371,0.39692,0.32403,0.27733,0.14517,0.91719,0.48365,0.09453,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,46229.6,1.22176,0.40012,0.14234,0.03201,0.03407,0.39063,0.34307,0.28742,0.15084,0.89894,0.48968,0.09365,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,47025.7,1.36015,0.36734,0.17385,0.0323,0.03273,0.32348,0.26406,0.20061,0.09421,1.10431,0.42965,0.10988,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,47821.8,1.37691,0.36036,0.16435,0.0329,0.03473,0.32649,0.26325,0.20467,0.0946,1.1059,0.42147,0.10853,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,48636.3,1.44204,0.33278,0.1721,0.03142,0.03317,0.30591,0.23753,0.18176,0.07921,1.17289,0.41014,0.11928,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,49448.8,1.44435,0.34226,0.18116,0.03139,0.03179,0.36769,0.31058,0.25776,0.128,0.97161,0.47223,0.09984,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,50210.8,1.31639,0.3722,0.14718,0.02984,0.03175,0.25366,0.2301,0.14862,0.05557,1.18984,0.42282,0.11146,0,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,51001.4,1.58686,0.28735,0.19828,0.03133,0.03312,0.32362,0.2541,0.19873,0.08974,1.20609,0.39488,0.11751,0,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,51785.5,1.38087,0.34873,0.16474,0.03034,0.03161,0.37489,0.33223,0.27379,0.13843,0.92787,0.48921,0.09411,0,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,52547.2,1.12453,0.42471,0.12323,0.02972,0.03106,0.40407,0.36736,0.31423,0.17284,0.83425,0.50915,0.08534,0,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
