epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,train/background_loss,train/saliency_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,val/background_loss,val/saliency_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,40761.5,1.78658,0.2549,0.25371,0.02029,0.01067,0.02507,0.01874,0.00327,0.00073,2.48203,0.13363,0.40055,0.0201,0.01129,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,42059.6,1.38693,0.35816,0.17112,0.01954,0.01043,0.36492,0.3427,0.27844,0.1504,0.88358,0.50271,0.09444,0.01969,0.01113,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,43288.5,1.1296,0.42699,0.13138,0.0194,0.01046,0.38794,0.35171,0.29937,0.16074,0.85838,0.50544,0.0899,0.01948,0.01114,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,44655.4,1.10706,0.43373,0.12262,0.01934,0.01028,0.40601,0.36579,0.31139,0.16722,0.84903,0.50654,0.08932,0.01956,0.01111,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,45854.6,1.36338,0.35977,0.15737,0.01944,0.0103,0.34864,0.27339,0.21573,0.10143,1.16928,0.39527,0.11703,0.01972,0.01108,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,47177.7,1.34588,0.362,0.15898,0.01972,0.01035,0.37769,0.32729,0.27146,0.14502,0.94807,0.47028,0.09577,0.01944,0.01117,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,943.467,1.2493,0.38821,0.14109,0.0192,0.01024,0.36999,0.33157,0.26693,0.13615,0.96841,0.46808,0.10037,0.01949,0.01121,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1889.69,1.37653,0.35394,0.1609,0.01958,0.01042,0.35165,0.30093,0.2426,0.11295,1.02745,0.44549,0.10347,0.01958,0.01117,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2832.21,1.88605,0.232,0.28543,0.01951,0.01041,0.05326,0.0398,0.01424,0.00463,2.0533,0.18035,0.27646,0.01906,0.01114,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3755.49,1.24058,0.38833,0.13892,0.01891,0.01023,0.38361,0.34939,0.29286,0.15192,0.89409,0.49614,0.09093,0.01895,0.01102,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4686.4,1.08472,0.43643,0.12093,0.01873,0.01011,0.41525,0.36774,0.32347,0.1775,0.82832,0.50687,0.087,0.01915,0.01102,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5620.02,1.06403,0.4389,0.11681,0.01896,0.01016,0.41629,0.37325,0.32776,0.17828,0.82113,0.51051,0.08476,0.0192,0.01105,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6535.58,1.04601,0.44513,0.11429,0.01872,0.01008,0.42902,0.38194,0.34043,0.18585,0.80598,0.5138,0.08219,0.01933,0.01095,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
